SamplingEvent,Year,StationName,Analyte,Conc,ConcUnits,Flow,LocType,Load,LoadUnits
"Mar 15-16, 2016",2016,Liberty Island Breach 3,POC,0.6,mg/L as C,4632.3,Outlet,6.8,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 3,THg- filtered,2.8,ng/L,4632.3,Outlet,31.73,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 3,THg- particulate,9.4,ng/L,4632.3,Outlet,106.5,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 3,THg- total,12.2,ng/L,4632.3,Outlet,138.3,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 3,TOC,4.8,mg/L as C,4632.3,Outlet,54.4,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 3,TSS,55,mg/L,4632.3,Outlet,623.3,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 3,VSS,6,mg/L,4632.3,Outlet,68,"1,000 kg/day"
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,Chloride- filtered,18,mg/L,12168.5,Outlet,535.9,"1,000 kg/day"
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,DOC,7.2,mg/L as C,12168.5,Outlet,214.4,"1,000 kg/day"
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,Iron- filtered,124,ug/L,12168.5,Outlet,3692,kg/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,Manganese- filtered,35.6,ug/L,12168.5,Outlet,1060,kg/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,MeHg- filtered,0.284,ng/L,12168.5,Outlet,8.455,g/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,MeHg- particulate,0.23,ng/L,12168.5,Outlet,6.847,g/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,MeHg- total,0.514,ng/L,12168.5,Outlet,15.3,g/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,POC,1.1,mg/L as C,12168.5,Outlet,32.75,"1,000 kg/day"
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,THg- filtered,4.3,ng/L,12168.5,Outlet,128,g/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,THg- particulate,15.2,ng/L,12168.5,Outlet,452.5,g/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,THg- total,19.5,ng/L,12168.5,Outlet,580.5,g/day
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,TOC,8.3,mg/L as C,12168.5,Outlet,247.1,"1,000 kg/day"
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,TSS,67.5,mg/L,12168.5,Outlet,2010,"1,000 kg/day"
"Mar 15-16, 2016",2016,Shag Slough below Stairsteps,VSS,9,mg/L,12168.5,Outlet,267.9,"1,000 kg/day"
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,Chloride- filtered,4,mg/L,17992.5,Outlet,176.1,"1,000 kg/day"
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,DOC,4.2,mg/L as C,17992.5,Outlet,184.9,"1,000 kg/day"
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,Iron- filtered,133,ug/L,17992.5,Outlet,5855,kg/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,Manganese- filtered,18.9,ug/L,17992.5,Outlet,832,kg/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,MeHg- filtered,0.097,ng/L,17992.5,Outlet,4.27,g/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,MeHg- particulate,0.081,ng/L,17992.5,Outlet,3.566,g/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,MeHg- total,0.178,ng/L,17992.5,Outlet,7.836,g/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,POC,0.6,mg/L as C,17992.5,Outlet,26.41,"1,000 kg/day"
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,THg- filtered,2.8,ng/L,17992.5,Outlet,123.3,g/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,THg- particulate,9.4,ng/L,17992.5,Outlet,413.8,g/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,THg- total,12.2,ng/L,17992.5,Outlet,537,g/day
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,TOC,4.8,mg/L as C,17992.5,Outlet,211.3,"1,000 kg/day"
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,TSS,55,mg/L,17992.5,Outlet,2421,"1,000 kg/day"
"Mar 15-16, 2016",2016,Toe Drain at 1/2 Lisbon,VSS,6,mg/L,17992.5,Outlet,264.1,"1,000 kg/day"
"Jan 11-12, 2017",2017,Below Liberty Island,Chloride- filtered,,,,Below Liberty,1676,"1,000 kg/day"
"Jan 11-12, 2017",2017,Below Liberty Island,DOC,,,,Below Liberty,1524,"1,000 kg/day"
"Jan 11-12, 2017",2017,Below Liberty Island,MeHg- filtered,,,,Below Liberty,32.29,g/day
"Jan 11-12, 2017",2017,Below Liberty Island,MeHg- particulate,,,,Below Liberty,77.23,g/day
"Jan 11-12, 2017",2017,Below Liberty Island,MeHg- total,,,,Below Liberty,109.5,g/day
"Jan 11-12, 2017",2017,Below Liberty Island,POC,,,,Below Liberty,827.4,"1,000 kg/day"
"Jan 11-12, 2017",2017,Below Liberty Island,THg- filtered,,,,Below Liberty,1623,g/day
"Jan 11-12, 2017",2017,Below Liberty Island,THg- particulate,,,,Below Liberty,12940,g/day
"Jan 11-12, 2017",2017,Below Liberty Island,THg- total,,,,Below Liberty,14560,g/day
"Jan 11-12, 2017",2017,Below Liberty Island,TOC,,,,Below Liberty,2351,"1,000 kg/day"
"Jan 11-12, 2017",2017,Below Liberty Island,TSS,,,,Below Liberty,76580,"1,000 kg/day"
"Jan 11-12, 2017",2017,Below Liberty Island,VSS,,,,Below Liberty,8756,"1,000 kg/day"
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,Chloride- filtered,17,mg/L,10897.5,Inlet,453.2,"1,000 kg/day"
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,DOC,5.05,mg/L as C,10897.5,Inlet,134.6,"1,000 kg/day"
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,Iron- filtered,148,ug/L,10897.5,Inlet,3946,kg/day
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,Manganese- filtered,3.16,ug/L,10897.5,Inlet,84.25,kg/day
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,MeHg- filtered,0.0815,ng/L,10897.5,Inlet,2.173,g/day
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,MeHg- particulate,0.135,ng/L,10897.5,Inlet,3.599,g/day
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,MeHg- total,0.217,ng/L,10897.5,Inlet,5.786,g/day
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,POC,1.95,mg/L as C,10897.5,Inlet,51.99,"1,000 kg/day"
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,THg- filtered,9.3,ng/L,10897.5,Inlet,248,g/day
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,THg- particulate,128,ng/L,10897.5,Inlet,3413,g/day
"Jan 11-12, 2017",2017,CCSB- Overflow Weir,THg- total,138,ng/L,10897.5,Inlet,3679,g/day
